Padrón de Mercaderías;;;;;;
;;;;;;
Fecha de Emision: 26/11/2025 Hora: 10:16;;;;;;
Estados: Activa;;;;;;
Incluyendo Mercaderías sin Fabricante;;;;;;
;;;;;;
Código;Código de Barras;Nombre;Unidad Base;Fabricante;Marca;Tipo Producto
10116299;6953182735519;PAÑALES M-PETS - MACHO - M - 10116299;;PET CARE;MPETS;Mercadería / Simple
10116399;6953182735526;PAÑALES M-PETS - MACHO - L - 10116399;;PET CARE;MPETS;Mercadería / Simple
10116499;6953182735533;PAÑALES M-PETS - MACHO - XL - 10116499;;PET CARE;MPETS;Mercadería / Simple
10116599;6953182735540;PAÑALES M-PETS - HEMBRA - XS - 10116599;;PET CARE;MPETS;Mercadería / Simple
10116699;6953182735557;PAÑALES M-PETS - HEMBRA - S - 10116699;;PET CARE;MPETS;Mercadería / Simple
10116799;6953182735564;PAÑALES M-PETS - HEMBRA - M - 10116799;;PET CARE;MPETS;Mercadería / Simple
10116899;6953182735571;PAÑALES M-PETS - HEMBRA - L - 10116899;;PET CARE;MPETS;Mercadería / Simple
10116999;6953182735588;PAÑALES M-PETS - HEMBRA - XL - 10116999;;PET CARE;MPETS;Mercadería / Simple
10117099;;DESODORANTE EN SPRAY MPETS 500 ML LIMON - 10117099;;PET CARE;MPETS;Mercadería / Simple
10117199;6953182736264;DESODORANTE EN SPRAY MPETS 500 ML LAVANDA - 10117199;;PET CARE;MPETS;Mercadería / Simple
10118299;6953182737964;DISPENSADOR DE BOLSAS MPETS POO BAMBOO (VELCRO) - 10118299;;PET CARE;MPETS;Mercadería / Simple
10119099;6953182738398;CEPILLO BAMBOO MPETS BALL PIN - 10119099;;PET CARE;MPETS;Mercadería / Simple
10119299;6953182738411;CEPILLO BAMBOO MPETS - M - 10119299;;PET CARE;MPETS;Mercadería / Simple
10119399;6953182738428;CEPILLO BAMBOO MPETS - L - 10119399 (X);;PET CARE;MPETS;Mercadería / Simple
10119999;6953182738480;CEPILLO MPETS STYLUS DESHEDDING BRUSH M - 10119999;;PET CARE;MPETS;Mercadería / Simple
10120;7790187340596;ROYAL CANIN PERRO MEDIUM ADULT 15 KG;;WINDIES;ROYAL CANIN;Mercadería / Simple
10123099;6953182739661;DISPENSADOR DE BOLSAS MPETS POO BAMBOO DISPLAY - 10123099;;PET CARE;MPETS;Mercadería / Simple
10123399;6953182739760;SHAMPOO NATURLUXE OATMEAL y GREEN TEA 500 ML - 10123399;;PET CARE;MPETS;Mercadería / Simple
10123499;6953182739777;SHAMPOO NATURLUXE TEA TREE OIL y SHEA BUTTER 500 ML - 10123499;;PET CARE;MPETS;Mercadería / Simple
10123599;6953182739784;SHAMPOO NATURLUXE LAVENDER y CHAMOMILE 500 ML - 10123599;;PET CARE;MPETS;Mercadería / Simple
10123699;6953182739791;SHAMPOO NATURLUXE LEMONGRASS y ARGAN OIL 500 ML - 10123699;;PET CARE;MPETS;Mercadería / Simple
10123799;6953182739807;SHAMPOO ACONDICIONADOR NATURLUXE ARGAN OIL y ACAI 500 ML - 10123799;;PET CARE;MPETS;Mercadería / Simple
10123899;6953182740650;SHAMPOO EN BARRA MPETS - NATURLUXE - 10123899;;PET CARE;MPETS;Mercadería / Simple
10124299;6953182741121;PAÑALES M-PETS - ECO COMPACT TRAINING PADS 60x60 CM - 50UN - 10124299;;PET CARE;MPETS;Mercadería / Simple
10125599;6953182744450;CEPILLO DE DIENTES MPETS 3 CABEZALES - 10125599;;PET CARE;MPETS;Mercadería / Simple
